Marque;Groupe;Pourcentage 5 dernieres annees;Pourcentage 2021
AUDI;VOLKSWAGEN;0.519;0.89
MERCEDES;DAIMLER;0.17;-0.044
PEUGEOT;STELLANTIS;0.302;0.926
SKODA;VOLKSWAGEN;0.519;0.89
VOLKSWAGEN;VOLKSWAGEN;0.519;0.89
BMW;BMW;0.225;-0.003
SEAT;VOLKSWAGEN;0.519;0.89
FORD;FORD;1.363;0.732
SUZUKI;SUZUKI;-0.074;0.077
HYUNDAI;HYUNDAI;0.09;0.43
CITROEN;STELLANTIS;0.302;0.926
DACIA;RENAULT;-0.146;-0.639
JEEP;STELLANTIS;0.302;0.926
OPEL;STELLANTIS;0.302;0.926
KIA;HYUNDAI;0.09;0.43
MINI;BMW;0.225;-0.003
RENAULT;RENAULT;-0.146;-0.639
DS;STELLANTIS;0.302;0.926
NISSAN;NISSAN;-0.008;-0.527
FIAT;STELLANTIS;0.302;0.926
VOLVO;GEELY;-0.196;1.875
TESLA;TESLA;0.498;23.728
FERRARI;FERRARI;0.206;3.114
ALFA;STELLANTIS;0.302;0.926
JAGUAR;TATA;1.624;0.022
LAND;TATA;1.624;0.022
HONDA;HONDA;0.123;-0.054
SMART;DAIMLER;0.17;-0.044
TOYOTA;TOYOTA;0.323;0.531
LEXUS;TOYOTA;0.323;0.531
SERES;DONGFENG;-0.279;-0.012
MAZDA;MAZDA;0.279;-0.537
ABARTH;STELLANTIS;0.302;0.926
PORSCHE;VOLKSWAGEN;0.519;0.89
MG;SAIC;-0.156;-0.121
CHEVROLET;GENERAL;0.408;0.683
MITSUBISHI;MITSUBISHI;0.479;-0.518
ISUZU;ISUZU;0.46;-0.034
CUPRA;VOLKSWAGEN;0.519;0.89
LAMBORGHINI;VOLKSWAGEN;0.519;0.89
MCLAREN;MCLAREN;0.001;0.001
SSANGYONG;MAHINDRA;0.162;0.413
SUBARU;SUBARU;-0.003;-0.569
IVECO;STELLANTIS;0.302;0.926
MASERATI;STELLANTIS;0.302;0.926
MERCEDES-AMG;DAIMLER;0.17;-0.044
LIGIER;LIGIER;0.001;0.001
ASTON;INVESTINDUSTRIAL;0.001;0.001
MICROCAR;LIGIER;0.001;0.001
ALPINE;RENAULT;-0.146;-0.639
DODGE;STELLANTIS;0.302;0.926
CADILLAC;GENERAL;0.408;0.683
LOTUS;PROTON;0.001;0.001
MAN;VOLKSWAGEN;0.519;0.89
LYNK;GEELY;-0.196;1.875
ROLLS;BMW;0.225;-0.003
BENTLEY;VOLKSWAGEN;0.519;0.89
